2017-01-10 20:31:42,092 DEBUG main:ChameleonRenderKitFactory:58 ajax4jsf.renderkit.ChameleonRenderKitFactory.<init>(ChameleonRenderKitFactory.java:58) ChameleonRenderKitFactory(RenderKitFactory) - Chameleon RenderKit factory instantiated
 %sn2017-01-10 20:31:42,184 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,185 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,186 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,187 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,187 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,188 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,188 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,188 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,189 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,189 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,190 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,191 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,192 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,192 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,192 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,193 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,194 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,194 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,194 DEBUG main:AjaxScript:45 ajax4jsf.javascript.AjaxScript.<init>(AjaxScript.java:45) AjaxScript() - Created instance of AjaxScript resource
 %sn2017-01-10 20:31:42,195 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,196 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,197 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,198 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,198 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,198 DEBUG main:AjaxScript:45 ajax4jsf.javascript.AjaxScript.<init>(AjaxScript.java:45) AjaxScript() - Created instance of AjaxScript resource
 %sn2017-01-10 20:31:42,199 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,200 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,201 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,202 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,202 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,203 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,204 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
 %sn2017-01-10 20:31:42,204 DEBUG main:InternetResourceBuilder:187 ajax4jsf.resource.InternetResourceBuilder.getInstance(InternetResourceBuilder.java:187) Return instance of internet resource builder org.ajax4jsf.resource.ResourceBuilderImpl@28ae4646
